"date","region","nivel_apertura","apertura","index"
2000-01-01,"frontera.norte",0,"general",48.4306890570018
2000-02-01,"frontera.norte",0,"general",48.8593213450631
2000-03-01,"frontera.norte",0,"general",49.134955293255
2000-04-01,"frontera.norte",0,"general",49.4013751728162
2000-05-01,"frontera.norte",0,"general",49.2629016301816
2000-06-01,"frontera.norte",0,"general",49.5791265729173
2000-07-01,"frontera.norte",0,"general",49.8185950256345
2000-08-01,"frontera.norte",0,"general",50.12259126655
2000-09-01,"frontera.norte",0,"general",50.4935422814548
2000-10-01,"frontera.norte",0,"general",50.8888866652728
2000-11-01,"frontera.norte",0,"general",51.6658655791757
2000-12-01,"frontera.norte",0,"general",52.023185179868
2001-01-01,"frontera.norte",0,"general",52.4064739363483
2001-02-01,"frontera.norte",0,"general",52.6581622842691
2001-03-01,"frontera.norte",0,"general",53.02440614679
2001-04-01,"frontera.norte",0,"general",53.2215813021756
2001-05-01,"frontera.norte",0,"general",52.853634898888
2001-06-01,"frontera.norte",0,"general",52.9240507446504
2001-07-01,"frontera.norte",0,"general",52.8149731487029
2001-08-01,"frontera.norte",0,"general",53.0635252285627
2001-09-01,"frontera.norte",0,"general",53.4071904836199
2001-10-01,"frontera.norte",0,"general",53.6366100764318
2001-11-01,"frontera.norte",0,"general",54.3370377530057
2001-12-01,"frontera.norte",0,"general",54.4370588631337
2002-01-01,"frontera.norte",0,"general",54.6837393840367
2002-02-01,"frontera.norte",0,"general",54.9138447427653
2002-03-01,"frontera.norte",0,"general",55.1190465480779
2002-04-01,"frontera.norte",0,"general",55.354093299606
2002-05-01,"frontera.norte",0,"general",54.9201840425207
2002-06-01,"frontera.norte",0,"general",55.0484227827244
2002-07-01,"frontera.norte",0,"general",55.2755796687094
2002-08-01,"frontera.norte",0,"general",55.5397947269994
2002-09-01,"frontera.norte",0,"general",55.769669185115
2002-10-01,"frontera.norte",0,"general",55.9321845138902
2002-11-01,"frontera.norte",0,"general",56.9358684784708
2002-12-01,"frontera.norte",0,"general",56.4869909903723
2003-01-01,"frontera.norte",0,"general",56.8755966633634
2003-02-01,"frontera.norte",0,"general",57.3966623793109
2003-03-01,"frontera.norte",0,"general",58.040845189685
2003-04-01,"frontera.norte",0,"general",58.039893425271
2003-05-01,"frontera.norte",0,"general",56.7349176027224
2003-06-01,"frontera.norte",0,"general",56.770510753866
2003-07-01,"frontera.norte",0,"general",56.8777195417141
2003-08-01,"frontera.norte",0,"general",57.2751444618444
2003-09-01,"frontera.norte",0,"general",57.8313847303515
2003-10-01,"frontera.norte",0,"general",57.9460941906192
2003-11-01,"frontera.norte",0,"general",59.0717436504913
2003-12-01,"frontera.norte",0,"general",59.2840700533569
2004-01-01,"frontera.norte",0,"general",59.4315408069657
2004-02-01,"frontera.norte",0,"general",59.8933801069657
2004-03-01,"frontera.norte",0,"general",60.2665812218734
2004-04-01,"frontera.norte",0,"general",60.4745107574262
2004-05-01,"frontera.norte",0,"general",59.6775873086235
2004-06-01,"frontera.norte",0,"general",59.7411053803541
2004-07-01,"frontera.norte",0,"general",59.7883835618593
2004-08-01,"frontera.norte",0,"general",60.094823105598
2004-09-01,"frontera.norte",0,"general",60.5770759764954
2004-10-01,"frontera.norte",0,"general",60.9748038123846
2004-11-01,"frontera.norte",0,"general",62.2613400929826
2004-12-01,"frontera.norte",0,"general",62.2428188653677
2005-01-01,"frontera.norte",0,"general",62.1193446025464
2005-02-01,"frontera.norte",0,"general",62.25856432125
2005-03-01,"frontera.norte",0,"general",62.6011998613372
2005-04-01,"frontera.norte",0,"general",63.0884899735303
2005-05-01,"frontera.norte",0,"general",61.9251842327926
2005-06-01,"frontera.norte",0,"general",61.7960269809138
2005-07-01,"frontera.norte",0,"general",61.899481358258
2005-08-01,"frontera.norte",0,"general",61.9892792090111
2005-09-01,"frontera.norte",0,"general",62.2905403147056
2005-10-01,"frontera.norte",0,"general",62.4103735962812
